year,month,adm0_name,adminstrata,rCSI Mean
2019,4,Yemen,Lahj,12.80353
2019,4,Yemen,Marib,22.84203
2019,4,Yemen,Raymah,22.51568
2019,4,Yemen,Sa'dah,19.29381
2019,4,Yemen,Sana'a,23.405251
2019,4,Yemen,Sana'a City,23.60471
2019,4,Yemen,Shabwah,14.58071
2019,4,Yemen,Taizz,19.68528
2019,5,Yemen,Yemen,20.51247
2019,6,Yemen,,19.57177
2019,6,Yemen,Yemen,19.57177
2019,6,Yemen,Yemen,19.57177
2019,6,Yemen,Abyan,12.17363
2019,6,Yemen,Ad Dali,21.077641
2019,6,Yemen,Aden,16.45384
2019,6,Yemen,Al Bayda,17.775169
2019,6,Yemen,Al Hudaydah,17.85804
2019,6,Yemen,Al Jawf,20.791401
2019,6,Yemen,Al Maharah,11.38571
2019,6,Yemen,Al Mahwit,22.68401
2019,6,Yemen,Amran,23.053619
2019,6,Yemen,Dhamar,21.518471
2019,6,Yemen,Hadramaut,14.60259
2019,6,Yemen,Hajjah,23.545601
2019,6,Yemen,Ibb,21.00009
2019,6,Yemen,Lahj,13.26246
2019,6,Yemen,Marib,21.255699
2019,6,Yemen,Raymah,22.870239
2019,6,Yemen,Sa'dah,17.7579
2019,6,Yemen,Sana'a,20.705111
2019,6,Yemen,Sana'a City,20.26569
2019,6,Yemen,Shabwah,17.137119
2019,6,Yemen,Taizz,19.48415
2019,7,Yemen,Yemen,19.94306
2019,7,Yemen,,19.94306
2019,7,Yemen,Abyan,12.35318
2019,7,Yemen,Ad Dali,20.27984
2019,7,Yemen,Aden,13.33997
2019,7,Yemen,Al Bayda,20.330879
2019,7,Yemen,Al Hudaydah,18.68811
2019,7,Yemen,Al Jawf,24.569201
2019,7,Yemen,Al Maharah,10.01597
2019,7,Yemen,Al Mahwit,22.402519
2019,7,Yemen,Amran,22.16087
2019,7,Yemen,Dhamar,23.14113
2019,7,Yemen,Hadramaut,14.32763
2019,7,Yemen,Hajjah,23.017509
2019,7,Yemen,Ibb,22.124081
2019,7,Yemen,Lahj,14.11307
2019,7,Yemen,Marib,21.02746
2019,7,Yemen,Raymah,19.026239
2019,7,Yemen,Sa'dah,15.69943
2019,7,Yemen,Sana'a,23.069189
2019,7,Yemen,Sana'a City,22.09934
2019,7,Yemen,Shabwah,18.5994
2019,7,Yemen,Taizz,18.654381
2019,8,Yemen,Yemen,19.398821
2019,8,Yemen,Abyan,15.25257
2019,8,Yemen,Ad Dali,19.049339
2019,8,Yemen,Aden,15.53078
2019,8,Yemen,Al Bayda,19.69665
2019,8,Yemen,Al Hudaydah,21.23855
2019,8,Yemen,Al Jawf,21.423731
2019,8,Yemen,Al Maharah,13.44932
2019,8,Yemen,Al Mahwit,22.256399
2019,8,Yemen,Amran,22.00202
2019,8,Yemen,Dhamar,21.00831
2019,8,Yemen,Hadramaut,11.56023
2019,8,Yemen,Hajjah,24.50281
2019,8,Yemen,Ibb,18.758539
2019,8,Yemen,Lahj,16.03878
2019,8,Yemen,Marib,17.00061
2019,8,Yemen,Raymah,19.37821
2019,8,Yemen,Sa'dah,17.0378
2019,8,Yemen,Sana'a,23.8013
2019,8,Yemen,Sana'a City,17.67075
2019,8,Yemen,Shabwah,13.60297
2019,8,Yemen,Taizz,18.5175
2019,9,Yemen,Yemen,20.92552
2019,9,Yemen,Abyan,14.49458
2019,9,Yemen,Ad Dali,20.80353
2019,9,Yemen,Aden,15.52948
2019,9,Yemen,Al Bayda,19.63542
2019,9,Yemen,Al Hudaydah,23.697809
2019,9,Yemen,Al Jawf,21.812469
2019,9,Yemen,Al Maharah,12.24094
2019,9,Yemen,Al Mahwit,21.459869
2019,9,Yemen,Amran,21.147421
2019,9,Yemen,Dhamar,23.119631
2019,9,Yemen,Hadramaut,15.51733
2019,9,Yemen,Hajjah,22.32464
2019,9,Yemen,Ibb,21.48934
2019,9,Yemen,Lahj,13.89623
2019,9,Yemen,Marib,19.90774
2019,9,Yemen,Raymah,21.013519
2019,9,Yemen,Sa'dah,19.08555
2019,9,Yemen,Sana'a,22.238911
2019,9,Yemen,Sana'a City,24.224461
2019,9,Yemen,Shabwah,17.163349
2019,9,Yemen,Taizz,20.898861
2018,2,Yemen,Yemen,23.038059
2020,3,Yemen,,19.74728
2020,3,Yemen,Abyan,12.84496
2020,3,Yemen,Ad Dali,16.91188
2020,3,Yemen,Aden,14.14155
2020,3,Yemen,Al Bayda,19.023149
2020,3,Yemen,Al Hudaydah,19
2020,3,Yemen,Al Jawf,20.419609
2020,3,Yemen,Al Maharah,14.751
2020,3,Yemen,Al Mahwit,18.372549
2020,3,Yemen,Amran,21.19355
2020,3,Yemen,Dhamar,20.549549
2020,3,Yemen,Hadramaut,13.56481
2020,3,Yemen,Hajjah,22.967211
2020,3,Yemen,Ibb,20.19178
2020,3,Yemen,Lahj,15.28095
2020,3,Yemen,Marib,16.91667
2020,3,Yemen,Raymah,21.25926
2020,3,Yemen,Sa'dah,15.70423
2020,3,Yemen,Sana'a,21.450001
2020,3,Yemen,Sana'a City,21.961109
2020,3,Yemen,Shabwah,14.95122
2020,3,Yemen,Taizz,19.027781
2020,3,Yemen,Yemen,19.74728
2020,4,Yemen,Yemen,19.692801
2020,4,Yemen,Abyan,15.05882
2020,4,Yemen,Ad Dali,19.04167
2020,4,Yemen,Aden,15.85
2020,4,Yemen,Al Bayda,20.414289
2020,4,Yemen,Al Hudaydah,20.719049
2020,4,Yemen,Al Jawf,22.866671
2020,4,Yemen,Al Maharah,14.60556
2020,4,Yemen,Al Mahwit,21.540001
2020,4,Yemen,Amran,19.433331
2020,4,Yemen,Dhamar,21.39048
2020,4,Yemen,Hadramaut,15.00476
2020,4,Yemen,Hajjah,21.15
2020,4,Yemen,Ibb,19.214291
2020,4,Yemen,Lahj,15.6381
2020,4,Yemen,Marib,16.62381
2020,4,Yemen,Raymah,21.595831
2020,4,Yemen,Sa'dah,18.561899
2020,4,Yemen,Sana'a,20
2020,4,Yemen,Sana'a City,20.67598
2020,4,Yemen,Shabwah,16.695829
2020,4,Yemen,Taizz,18.75556
2020,5,Yemen,Yemen,19.005989
2020,5,Yemen,Abyan,16.60417
2020,5,Yemen,Ad Dali,17.470831
2020,5,Yemen,Aden,17.122219
2020,5,Yemen,Al Bayda,17.52857
2020,5,Yemen,Al Hudaydah,18.1381
2020,5,Yemen,Al Jawf,22.67083
2020,5,Yemen,Al Maharah,13.77222
2020,5,Yemen,Al Mahwit,17.47333
2020,5,Yemen,Amran,20.727779
2020,5,Yemen,Dhamar,19.98571
2020,5,Yemen,Hadramaut,13.75714
2020,5,Yemen,Hajjah,23.788891
2020,5,Yemen,Ibb,18.62381
2020,5,Yemen,Lahj,14.99048
2020,5,Yemen,Marib,14.97143
2020,5,Yemen,Raymah,19.35
2020,5,Yemen,Sa'dah,16.585711
2020,5,Yemen,Sana'a,20.444441
2020,5,Yemen,Sana'a City,20.18889
2020,5,Yemen,Shabwah,15.83333
2020,5,Yemen,Taizz,18.111111
